Single_LSTM,Single_GRU,OneD_CNN,OneD_CNN_Dilated,OneD_CNN_Causal,OneD_CNN_CausalDilated,TwoD_CNN,TwoD_CNN_Dilated,TwoD_CNN_Separable,TwoD_CNN_Depthwise,CNN_LSTM,CNN_GRU,Single_ConvLSTM2D,"EEGNet-8,2","EEGNeX-8,32"
13.32607716,15.31643569,15.30088633,15.17648846,15.70517868,15.12984037,14.72554803,14.60115016,16.99580103,16.35826528,16.29606634,15.75182676,15.25423676,16.52931124,22.84923526
13.24832886,14.2746076,15.56523144,14.91214484,14.94324356,15.891774,15.72072804,15.48748314,15.54968059,16.34271443,16.01617187,15.6585291,15.40973485,16.91805273,22.62512543
13.82366717,15.09874016,15.25423676,14.98989314,14.89659399,15.09874016,15.76737612,15.12984037,16.389364,16.34271443,15.98507166,15.36308527,14.70999867,16.40491337,22.89648813
12.79738694,14.15020972,14.89659399,15.03654122,15.12984037,15.42528421,15.09874016,15.17648846,16.8558538,15.86067528,15.68962783,15.67407846,15.34753591,16.42046273,22.44835231
12.48639375,14.60115016,15.39418399,15.17648846,15.20758867,15.45638293,15.39418399,15.22313803,16.32716507,15.891774,15.42528421,15.92287421,15.70517868,16.71590805,22.46237031
12.8129378,14.74109739,16.0472706,14.97434229,14.50785249,15.0831908,15.0054425,14.91214484,16.07837081,16.10946953,15.67407846,16.14056975,15.67407846,16.7003572,22.43526372
13.27942759,14.2746076,16.09392017,15.70517868,14.53895122,15.76737612,15.25423676,15.62743038,15.86067528,15.95397294,16.17166847,15.48748314,15.92287421,17.07354933,22.04737031
13.9636144,14.2746076,14.91214484,15.19203782,15.82957506,15.50303251,14.81884569,15.06764144,15.86067528,15.98507166,15.36308527,16.06282145,15.53413123,17.22904742,21.64965031
13.65261972,13.621521,15.75182676,15.25423676,14.94324356,15.30088633,14.74109739,14.95879292,16.29606634,16.59151018,15.31643569,15.33198506,15.31643569,16.52931124,21.72648752
13.69926929,14.58560079,15.30088633,14.64779973,15.42528421,15.75182676,15.45638293,15.26978761,16.40491337,16.57596081,15.75182676,16.14056975,14.97434229,16.42046273,21.64637034
