Single_LSTM,Single_GRU,OneD_CNN,OneD_CNN_Dilated,OneD_CNN_Causal,OneD_CNN_CausalDilated,TwoD_CNN,TwoD_CNN_Dilated,TwoD_CNN_Separable,TwoD_CNN_Depthwise,CNN_LSTM,CNN_GRU,Single_ConvLSTM2D,"EEGNet-8,2","EEGNeX-8,32"
69.11764741,71.91176414,70.88235021,69.26470399,71.02941275,69.11764741,68.82352829,69.70587969,68.97059083,72.20588326,71.47058845,70.14706135,71.76470757,71.47058845,74.5588243
68.97059083,71.47058845,71.02941275,70.29411793,71.02941275,69.11764741,68.82352829,69.70587969,68.38235259,72.20588326,71.47058845,70.14706135,71.76470757,72.79411554,74.70588088
68.97059083,71.76470757,70.88235021,72.05882072,70.14706135,68.97059083,69.11764741,69.41176653,69.26470399,72.20588326,72.20588326,69.85294223,71.76470757,72.50000238,74.5588243
69.11764741,70.58823705,71.61764503,71.17646933,71.61764503,69.41176653,68.97059083,69.70587969,68.67647171,72.20588326,70.88235021,70.14706135,71.76470757,72.20588326,74.26470518
68.97059083,71.76470757,70.88235021,71.17646933,69.41176653,69.85294223,70.14706135,69.70587969,69.26470399,72.35293984,71.32353187,70.14706135,72.20588326,71.91176414,75.29411912
68.97059083,70.58823705,70.58823705,71.47058845,69.55882311,69.55882311,69.99999881,69.70587969,68.97059083,72.35293984,71.47058845,70.14706135,72.20588326,72.20588326,73.23529124
69.11764741,71.76470757,71.61764503,71.91176414,69.41176653,68.97059083,70.14706135,69.41176653,68.97059083,72.20588326,72.35293984,69.11764741,71.76470757,71.76470757,74.1176486
69.11764741,71.76470757,70.73529363,70.29411793,70.14706135,68.97059083,69.26470399,69.70587969,68.67647171,72.50000238,71.47058845,70.14706135,71.76470757,72.20588326,74.41176176
69.11764741,71.76470757,71.47058845,71.17646933,70.29411793,69.85294223,69.26470399,69.70587969,68.67647171,72.20588326,71.47058845,69.11764741,71.76470757,72.20588326,74.70588088
69.11764741,70.88235021,70.44117451,71.47058845,70.44117451,69.26470399,70.14706135,69.70587969,68.97059083,72.20588326,71.32353187,69.99999881,71.76470757,72.05882072,74.71452872
