Single_LSTM,Single_GRU,OneD_CNN,OneD_CNN_Dilated,OneD_CNN_Causal,OneD_CNN_CausalDilated,TwoD_CNN,TwoD_CNN_Dilated,TwoD_CNN_Separable,TwoD_CNN_Depthwise,CNN_LSTM,CNN_GRU,Single_ConvLSTM2D,"EEGNet-8,2","EEGNeX-8,32"
31.79012239,31.17283881,41.66666567,36.41975224,40.43209851,36.72839403,48.76543283,47.2222209,50,58.02469254,40.7407403,39.81481493,35.49382687,67.59259105,69.13580298
29.93827164,31.79012239,40.7407403,36.72839403,42.28394926,40.43209851,50,48.45679104,54.32098508,57.71604776,40.43209851,39.50617313,37.65432239,65.7407403,66.66666865
32.40740597,28.70370448,42.59259403,38.58024776,42.90123582,40.12345672,52.46913433,45.06172836,54.93826866,57.40740895,35.80246866,44.13580298,33.95061791,65.7407403,66.97530746
28.08642089,33.02469254,39.19753134,39.50617313,40.7407403,37.03703582,51.54321194,48.76543283,58.02469254,56.79012537,37.65432239,42.28394926,39.81481493,67.59259105,67.28395224
29.93827164,30.86419702,35.18518507,37.65432239,40.43209851,37.34567761,50.61728358,46.91357911,49.38271642,52.16049552,37.34567761,41.97530746,39.81481493,65.43210149,68.82715821
29.62962985,25.61728358,40.7407403,38.88888955,38.88888955,41.04938209,50.61728358,49.07407463,58.33333135,58.95061493,37.34567761,40.43209851,39.81481493,66.97530746,70.06173134
28.70370448,27.7777791,34.56790149,35.80246866,44.44444478,42.90123582,50.92592835,46.60493731,52.7777791,56.17284179,38.58024776,41.66666567,38.58024776,68.5185194,68.20987463
30.55555522,25.61728358,39.81481493,33.33333433,42.59259403,41.04938209,49.69135821,45.06172836,54.93826866,58.02469254,38.88888955,41.04938209,39.81481493,65.12345672,71.60493731
31.17283881,27.16049254,35.80246866,40.12345672,44.44444478,38.27160597,51.23456717,49.38271642,51.85185075,58.02469254,40.43209851,37.65432239,41.35802388,65.7407403,71.91358209
32.71605074,27.7777791,38.88888955,37.03703582,43.82716119,39.19753134,45.98765373,50.30864477,55.86419702,56.79012537,37.96296418,38.27160597,38.27160597,68.5185194,69.75308657
